dataset	architecture	distractor_name	cap_len	token_pos	chebyshev	cosine
mscoco	init	min	11	6	1.6000062	0.3222428611849573
mscoco	init	min	11	7	1.5947089	0.3565836017097815
mscoco	init	min	11	8	1.5921001	0.31380545522433434
mscoco	init	min	11	9	1.6061957	0.31592575310446824
mscoco	init	min	11	10	1.5852337	0.40389821880218213
mscoco	init	min	11	11	1.5432239	0.25359435079054043
mscoco	init	min	12	0	1.6943843	0.5446715331796942
mscoco	init	min	12	1	1.6355115	0.6383119043091248
mscoco	init	min	12	2	1.6227151	0.3896438045234516
mscoco	init	min	12	3	1.6299626	0.4326281986873725
mscoco	init	min	12	4	1.6229823	0.39824042494954737
mscoco	init	min	12	5	1.6164242	0.3386231642858735
mscoco	init	min	12	6	1.6059816	0.3418824788311432
mscoco	init	min	12	7	1.6004463	0.31290414441248465
mscoco	init	min	12	8	1.6186147	0.326890134092035
mscoco	init	min	12	9	1.5966942	0.41499181143168745
mscoco	init	min	12	10	1.6053945	0.3093876787300768
mscoco	init	min	12	11	1.6022725	0.3425543585727955
mscoco	init	min	12	12	1.559462	0.23863789696117926
mscoco	init	min	13	0	1.8040907	0.5432194173336029
mscoco	init	min	13	1	1.7093635	0.654238354563713
mscoco	init	min	13	2	1.7107801	0.432002032995224
mscoco	init	min	13	3	1.6893314	0.4113586807250977
mscoco	init	min	13	4	1.6988721	0.43270804405212404
mscoco	init	min	13	5	1.6790293	0.35341023445129394
mscoco	init	min	13	6	1.6440973	0.3493882393836975
mscoco	init	min	13	7	1.6756487	0.34976604223251345
mscoco	init	min	13	8	1.6419188	0.31941654086112975
mscoco	init	min	13	9	1.6909529	0.34669665932655336
mscoco	init	min	13	10	1.644978	0.36124414682388306
mscoco	init	min	13	11	1.6628823	0.30481160640716554
mscoco	init	min	13	12	1.5836612	0.4043914461135864
mscoco	init	min	13	13	1.562053	0.2580552077293396
mscoco	pre	max	7	0	0.7770243	0.2726540452852024
mscoco	pre	max	7	1	0.73057246	0.34140732555877507
mscoco	pre	max	7	2	0.70297295	0.18566074498056426
mscoco	pre	max	7	3	0.6731812	0.15514894850610747
mscoco	pre	max	7	4	0.6582228	0.1428885004651828
mscoco	pre	max	7	5	0.653839	0.15373800307746946
mscoco	pre	max	7	6	0.65444964	0.180086872943743
mscoco	pre	max	7	7	0.63474447	0.1265708963702044
mscoco	pre	max	8	0	0.74926597	0.26387919757623396
mscoco	pre	max	8	1	0.70558715	0.3307790217887646
mscoco	pre	max	8	2	0.6876697	0.17687392614029585
mscoco	pre	max	8	3	0.66534805	0.1666716592358026
mscoco	pre	max	8	4	0.6465901	0.17010733946889928
mscoco	pre	max	8	5	0.6410608	0.1343264258666322
mscoco	pre	max	8	6	0.6235997	0.14743889287052314
mscoco	pre	max	8	7	0.63024765	0.19781670253595046
mscoco	pre	max	8	8	0.6060867	0.1226642464041545
mscoco	pre	max	9	0	0.77500796	0.2884676672487984
mscoco	pre	max	9	1	0.73555404	0.36016639053510224
mscoco	pre	max	9	2	0.71931505	0.180957620322393
mscoco	pre	max	9	3	0.7061832	0.18065424100887756
mscoco	pre	max	9	4	0.69134355	0.16300754242177212
mscoco	pre	max	9	5	0.68164414	0.16725820392906424
mscoco	pre	max	9	6	0.66376287	0.1378445912085504
mscoco	pre	max	9	7	0.6539518	0.1586614016765643
mscoco	pre	max	9	8	0.65971327	0.1894634382034967
mscoco	pre	max	9	9	0.6425694	0.12456327152681157
mscoco	pre	max	10	0	0.7935443	0.28267233325107044
mscoco	pre	max	10	1	0.7482037	0.34899716513208573
mscoco	pre	max	10	2	0.72626543	0.18587201170826947
mscoco	pre	max	10	3	0.7024444	0.1747804185222838
mscoco	pre	max	10	4	0.6898515	0.16844752185137962
mscoco	pre	max	10	5	0.67627	0.16236801910355447
mscoco	pre	max	10	6	0.6623219	0.15041698587041885
mscoco	pre	max	10	7	0.6477595	0.1443602232215092
mscoco	pre	max	10	8	0.6409816	0.1544310569369939
mscoco	pre	max	10	9	0.6506606	0.1804455833599098
mscoco	pre	max	10	10	0.6288952	0.11415455894128654
mscoco	pre	max	11	0	0.7839579	0.2979319463173548
mscoco	pre	max	11	1	0.7485126	0.37090596311415236
mscoco	pre	max	11	2	0.7331348	0.18688894758621852
mscoco	pre	max	11	3	0.7116117	0.16569927651435137
mscoco	pre	max	11	4	0.70319784	0.17311358687778314
mscoco	pre	max	11	5	0.693456	0.19304842843363682
mscoco	pre	max	11	6	0.67104024	0.15355085705717406
mscoco	pre	max	11	7	0.6658041	0.17593256949136654
mscoco	pre	max	11	8	0.6538427	0.1498366378247738
mscoco	pre	max	11	9	0.6432158	0.1527936584626635
mscoco	pre	max	11	10	0.65151775	0.1947028166304032
mscoco	pre	max	11	11	0.6335622	0.12026450547079245
mscoco	pre	max	12	0	0.8343222	0.31469713532141524
mscoco	pre	max	12	1	0.79703	0.39509792332231564
mscoco	pre	max	12	2	0.7750621	0.1889653458212414
mscoco	pre	max	12	3	0.7670711	0.21012117240550746
mscoco	pre	max	12	4	0.73830885	0.18387276304029201
mscoco	pre	max	12	5	0.7120604	0.14915214707381533
mscoco	pre	max	12	6	0.7024811	0.17376097949751973
mscoco	pre	max	12	7	0.7081518	0.16020173421741402
mscoco	pre	max	12	8	0.6989088	0.16333181536110647
mscoco	pre	max	12	9	0.70712245	0.20400860709865598
mscoco	pre	max	12	10	0.69151574	0.14172785952143427
mscoco	pre	max	12	11	0.72426385	0.18796975508223485
mscoco	pre	max	12	12	0.67841554	0.1200631735098623
mscoco	pre	max	13	0	0.83481467	0.2536249990048616
mscoco	pre	max	13	1	0.7838025	0.32415940709736035
mscoco	pre	max	13	2	0.7612491	0.17773080131281976
mscoco	pre	max	13	3	0.71649504	0.1522748729457026
mscoco	pre	max	13	4	0.7349214	0.16121243134788846
mscoco	pre	max	13	5	0.6989023	0.12743549502414206
mscoco	pre	max	13	6	0.6726966	0.1459849891455277
mscoco	pre	max	13	7	0.672156	0.19917563640553018
mscoco	pre	max	13	8	0.6800925	0.1453413134035857
mscoco	pre	max	13	9	0.65077555	0.152455633101256
mscoco	pre	max	13	10	0.6598052	0.16821507785631262
mscoco	pre	max	13	11	0.6829701	0.13265444403109344
mscoco	pre	max	13	12	0.65378207	0.1737522884555485
mscoco	pre	max	13	13	0.6341006	0.10670226294061412
mscoco	pre	med	7	0	0.9632444	0.4854311579325068
mscoco	pre	med	7	1	0.91736555	0.6329663981954883
mscoco	pre	med	7	2	0.90547496	0.355561518997658
mscoco	pre	med	7	3	0.8974016	0.315879735421008
mscoco	pre	med	7	4	0.8688816	0.28852629943156805
mscoco	pre	med	7	5	0.8719566	0.3231377972392585
mscoco	pre	med	7	6	0.9085865	0.3870515853870572
mscoco	pre	med	7	7	0.86063236	0.26911211389256273
mscoco	pre	med	8	0	0.9326729	0.4609459159614964
mscoco	pre	med	8	1	0.90245855	0.6036240858892764
mscoco	pre	med	8	2	0.8932454	0.3338008447348
mscoco	pre	med	8	3	0.87517947	0.3224482472836559
mscoco	pre	med	8	4	0.85218275	0.33123649866996463
mscoco	pre	med	8	5	0.8520776	0.26343075889851875
mscoco	pre	med	8	6	0.8335261	0.2889854494755364
mscoco	pre	med	8	7	0.8498886	0.3864941934064381
mscoco	pre	med	8	8	0.83419645	0.24160500177868835
mscoco	pre	med	9	0	0.93934315	0.46567178722114255
mscoco	pre	med	9	1	0.90857124	0.6077019596473464
mscoco	pre	med	9	2	0.90134627	0.3178199979363661
mscoco	pre	med	9	3	0.8982825	0.3179237052789623
mscoco	pre	med	9	4	0.8811397	0.29080517801066436
mscoco	pre	med	9	5	0.87748975	0.3019307293451877
mscoco	pre	med	9	6	0.8602249	0.2502450768122892
mscoco	pre	med	9	7	0.8507169	0.2828621151259799
mscoco	pre	med	9	8	0.87222695	0.34434949992807257
mscoco	pre	med	9	9	0.85758823	0.22753114435330976
mscoco	pre	med	10	0	0.943292	0.4653312045655983
mscoco	pre	med	10	1	0.91491616	0.6016360276943102
mscoco	pre	med	10	2	0.901154	0.3264595657221896
mscoco	pre	med	10	3	0.90047956	0.3125455576951048
mscoco	pre	med	10	4	0.8800195	0.30000329214261456
mscoco	pre	med	10	5	0.8803276	0.28790883776098913
mscoco	pre	med	10	6	0.8666885	0.27172174032963636
mscoco	pre	med	10	7	0.857523	0.26600886153848974
mscoco	pre	med	10	8	0.85136783	0.2776492585504426
mscoco	pre	med	10	9	0.87754035	0.3344048622865704
mscoco	pre	med	10	10	0.84783274	0.21063892797520428
mscoco	pre	med	11	0	0.94848627	0.48132540577401717
mscoco	pre	med	11	1	0.9157931	0.6258866336507102
mscoco	pre	med	11	2	0.91328424	0.32919955036292475
mscoco	pre	med	11	3	0.89853686	0.2896912596498927
mscoco	pre	med	11	4	0.89773345	0.3053338482355078
mscoco	pre	med	11	5	0.9034702	0.35041419280072056
mscoco	pre	med	11	6	0.87844115	0.2762694016098976
mscoco	pre	med	11	7	0.8782658	0.31334596605350573
mscoco	pre	med	11	8	0.86705333	0.2694616820663214
mscoco	pre	med	11	9	0.85810506	0.275847830871741
mscoco	pre	med	11	10	0.8829618	0.35890316606188816
mscoco	pre	med	11	11	0.84210014	0.2194406638542811
mscoco	pre	med	12	0	0.9577142	0.4580840622856669
mscoco	pre	med	12	1	0.92787284	0.5933878649107731
mscoco	pre	med	12	2	0.9096135	0.2949156445743394
mscoco	pre	med	12	3	0.90471965	0.33570778761466924
mscoco	pre	med	12	4	0.89385265	0.2875522966802555
mscoco	pre	med	12	5	0.87253046	0.2365031951535357
mscoco	pre	med	12	6	0.84889835	0.27710766948922705
mscoco	pre	med	12	7	0.8636528	0.2516581242101906
mscoco	pre	med	12	8	0.8573362	0.2636205286440188
mscoco	pre	med	12	9	0.9034017	0.34907856790253716
mscoco	pre	med	12	10	0.8871734	0.23764865437563318
mscoco	pre	med	12	11	0.9375354	0.3002862292919716
mscoco	pre	med	12	12	0.8656475	0.192925369217448
mscoco	pre	med	13	0	0.9430716	0.44916607633880945
mscoco	pre	med	13	1	0.90817255	0.6135379762753196
mscoco	pre	med	13	2	0.9399337	0.3497694575268289
mscoco	pre	med	13	3	0.8772456	0.2955042486605437
mscoco	pre	med	13	4	0.9486692	0.33782956392868707
mscoco	pre	med	13	5	0.8729545	0.2612760663032532
mscoco	pre	med	13	6	0.8319278	0.2891568191673445
mscoco	pre	med	13	7	0.87326026	0.38146142272845557
mscoco	pre	med	13	8	0.8171633	0.2635554619457411
mscoco	pre	med	13	9	0.7950077	0.27345143064208655
mscoco	pre	med	13	10	0.80760497	0.30139528798020404
mscoco	pre	med	13	11	0.86796445	0.2628609952719315
mscoco	pre	med	13	12	0.89916044	0.34252804388170655
mscoco	pre	med	13	13	0.8089538	0.20331275981405508
mscoco	pre	min	7	0	0.9356782	0.49886643206040693
mscoco	pre	min	7	1	0.9197743	0.6578542070360635
mscoco	pre	min	7	2	0.9191148	0.3789927009053118
mscoco	pre	min	7	3	0.9107226	0.3307321127944105
mscoco	pre	min	7	4	0.8875223	0.30372519239665957
mscoco	pre	min	7	5	0.8872714	0.3431608472752759
mscoco	pre	min	7	6	0.915314	0.4048566689172129
mscoco	pre	min	7	7	0.86898106	0.28291332674777414
mscoco	pre	min	8	0	0.93021655	0.4928292658071795
mscoco	pre	min	8	1	0.91445136	0.6469078795111031
mscoco	pre	min	8	2	0.9021852	0.3667462815841039
mscoco	pre	min	8	3	0.8914467	0.35627697482395965
mscoco	pre	min	8	4	0.87448275	0.3672399773554848
mscoco	pre	min	8	5	0.87693185	0.2937696427209908
mscoco	pre	min	8	6	0.85714465	0.32398436507042677
mscoco	pre	min	8	7	0.8916154	0.43204862348230383
mscoco	pre	min	8	8	0.86556405	0.270413086415986
mscoco	pre	min	9	0	0.9400799	0.5054183720642926
mscoco	pre	min	9	1	0.92622644	0.6572890728149937
mscoco	pre	min	9	2	0.92046	0.3521015510196542
mscoco	pre	min	9	3	0.9225378	0.35670665909714017
mscoco	pre	min	9	4	0.9131079	0.3268885432774427
mscoco	pre	min	9	5	0.914832	0.3386912672103178
mscoco	pre	min	9	6	0.8988926	0.2832239603518886
mscoco	pre	min	9	7	0.88280976	0.3228004359085063
mscoco	pre	min	9	8	0.9162362	0.39325960267614085
mscoco	pre	min	9	9	0.89588094	0.26007683769741935
mscoco	pre	min	10	0	0.95248425	0.5045513101448774
mscoco	pre	min	10	1	0.93879896	0.6558049566671603
mscoco	pre	min	10	2	0.92346007	0.3666829928601271
mscoco	pre	min	10	3	0.9358396	0.3550226635577879
mscoco	pre	min	10	4	0.91657466	0.3420751202258156
mscoco	pre	min	10	5	0.92766106	0.32918569806552406
mscoco	pre	min	10	6	0.91347057	0.31238978001500617
mscoco	pre	min	10	7	0.8951758	0.30812386314504897
mscoco	pre	min	10	8	0.8917934	0.32069146213219146
mscoco	pre	min	10	9	0.93090785	0.3879413000965433
mscoco	pre	min	10	10	0.90385103	0.24526531397453688
mscoco	pre	min	11	0	0.9440001	0.5122661353399356
mscoco	pre	min	11	1	0.9262965	0.6652369738866886
mscoco	pre	min	11	2	0.9175294	0.35944488160312177
mscoco	pre	min	11	3	0.9172996	0.3197816795979937
mscoco	pre	min	11	4	0.92236257	0.3395034505675236
mscoco	pre	min	11	5	0.9269793	0.3871416600731512
mscoco	pre	min	11	6	0.9189588	0.3116577128569285
mscoco	pre	min	11	7	0.90974396	0.3488582833980521
mscoco	pre	min	11	8	0.8932406	0.2999017146726449
mscoco	pre	min	11	9	0.8913472	0.31122921261315545
mscoco	pre	min	11	10	0.9246237	0.40951778190210464
mscoco	pre	min	11	11	0.8875834	0.25213899879405893
mscoco	pre	min	12	0	0.9377617	0.49434906679348356
mscoco	pre	min	12	1	0.9398582	0.6345119637838246
mscoco	pre	min	12	2	0.92608404	0.3288798547574203
mscoco	pre	min	12	3	0.9256352	0.384050238306505
mscoco	pre	min	12	4	0.91334444	0.33555078310688047
mscoco	pre	min	12	5	0.8965417	0.27735582320359503
mscoco	pre	min	12	6	0.88355833	0.32864511404594365
mscoco	pre	min	12	7	0.92913264	0.29959875671532904
mscoco	pre	min	12	8	0.8865685	0.3161809777256346
mscoco	pre	min	12	9	0.9539505	0.4127618464892798
mscoco	pre	min	12	10	0.93735296	0.2818809140772715
mscoco	pre	min	12	11	0.967885	0.34796569632352703
mscoco	pre	min	12	12	0.9085607	0.23006946849126886
mscoco	pre	min	13	0	1.028638	0.5239863771459331
mscoco	pre	min	13	1	0.98517567	0.6774516455505205
mscoco	pre	min	13	2	1.0517817	0.40659069237501727
mscoco	pre	min	13	3	0.92452	0.3679985157821489
mscoco	pre	min	13	4	0.99658453	0.4054724910984869
mscoco	pre	min	13	5	0.89782566	0.3064543747383615
mscoco	pre	min	13	6	0.913075	0.3501306862934776
mscoco	pre	min	13	7	0.9024315	0.453229871780976
mscoco	pre	min	13	8	0.88444793	0.3224381428697835
mscoco	pre	min	13	9	0.8914397	0.33541950713033264
mscoco	pre	min	13	10	0.89548707	0.35706806312436645
mscoco	pre	min	13	11	0.92110044	0.31062884563985077
mscoco	pre	min	13	12	0.9536949	0.39320768480715546
mscoco	pre	min	13	13	0.92812365	0.24407572590786478
mscoco	par	max	7	0	0.90125537	0.20547311128296467
mscoco	par	max	7	1	1.002228	0.3275927816118513
mscoco	par	max	7	2	0.891125	0.13549526729939146
mscoco	par	max	7	3	0.8807407	0.16327823559689966
mscoco	par	max	7	4	0.8692291	0.1367387803074736
mscoco	par	max	7	5	0.8497864	0.12890581351629696
mscoco	par	max	7	6	0.9138844	0.19092400455326766
mscoco	par	max	7	7	0.8840173	0.12311787931075008
mscoco	par	max	8	0	0.81851095	0.16091227326820146
mscoco	par	max	8	1	0.9203065	0.26931877162919116
mscoco	par	max	8	2	0.84470093	0.129003015382966
mscoco	par	max	8	3	0.8349933	0.1273316538333893
mscoco	par	max	8	4	0.8272407	0.13094820116882894
mscoco	par	max	8	5	0.80116546	0.09240979705283892
mscoco	par	max	8	6	0.81555897	0.11218860905561874
mscoco	par	max	8	7	0.8732072	0.16858756659635857
mscoco	par	max	8	8	0.8080021	0.0986547101789446
mscoco	par	max	9	0	0.8690482	0.17430579293313636
mscoco	par	max	9	1	0.9750819	0.2920296109994213
mscoco	par	max	9	2	0.8957035	0.1286127551434231
mscoco	par	max	9	3	0.8930402	0.13495127276541996
mscoco	par	max	9	4	0.86731195	0.11468690032095888
mscoco	par	max	9	5	0.8735603	0.11578305439828107
mscoco	par	max	9	6	0.8412029	0.09080822484994752
mscoco	par	max	9	7	0.8771977	0.12761186360423687
mscoco	par	max	9	8	0.92005664	0.1542163238870392
mscoco	par	max	9	9	0.85674083	0.09603277060714069
mscoco	par	max	10	0	0.8695818	0.1744553447917429
