dataset	architecture	cap_len	token_pos	mean_img_grad	mean_prevtoken_grad
mscoco	merge	9	2	0.0008569491	0.031552546
mscoco	merge	9	3	0.001253515	0.032740634
mscoco	merge	9	4	0.0010719907	0.042319044
mscoco	merge	9	5	0.0013350158	0.04050118
mscoco	merge	9	6	0.0008753353	0.031308126
mscoco	merge	9	7	0.0009863261	0.042193983
mscoco	merge	9	8	0.0014295445	0.038513243
mscoco	merge	9	9	0.00052870787	0.04477404
mscoco	merge	10	0	0.0010835518	0.011477849
mscoco	merge	10	1	0.0017689433	0.0278012
mscoco	merge	10	2	0.00080482196	0.03009366
mscoco	merge	10	3	0.0012455335	0.03602746
mscoco	merge	10	4	0.0012336919	0.037415817
mscoco	merge	10	5	0.0011645221	0.041489817
mscoco	merge	10	6	0.0011446554	0.044445418
mscoco	merge	10	7	0.000759327	0.029158358
mscoco	merge	10	8	0.000958286	0.037536133
mscoco	merge	10	9	0.001383582	0.0392729
mscoco	merge	10	10	0.00039709808	0.035422694
mscoco	merge	11	0	0.0010809827	0.0113273775
mscoco	merge	11	1	0.0016097742	0.024869896
mscoco	merge	11	2	0.00088562176	0.029726153
mscoco	merge	11	3	0.0011178204	0.030113
mscoco	merge	11	4	0.001137731	0.035290595
mscoco	merge	11	5	0.0011057971	0.033347353
mscoco	merge	11	6	0.0009572841	0.042406987
mscoco	merge	11	7	0.001216945	0.038922843
mscoco	merge	11	8	0.000778593	0.028250527
mscoco	merge	11	9	0.00089904555	0.039681785
mscoco	merge	11	10	0.0014725621	0.036841363
mscoco	merge	11	11	0.00032896898	0.030906295
mscoco	merge	12	0	0.0012144549	0.011955286
mscoco	merge	12	1	0.0016032339	0.025407992
mscoco	merge	12	2	0.00070507964	0.02397182
mscoco	merge	12	3	0.0012543411	0.0257974
mscoco	merge	12	4	0.0012037945	0.034659475
mscoco	merge	12	5	0.001057801	0.03383322
mscoco	merge	12	6	0.001031115	0.062856585
mscoco	merge	12	7	0.0007773925	0.025379285
mscoco	merge	12	8	0.00070441107	0.025152983
mscoco	merge	12	9	0.0010369949	0.036297712
mscoco	merge	12	10	0.0007954226	0.025994034
mscoco	merge	12	11	0.0011601778	0.031489573
mscoco	merge	12	12	0.000203019	0.019988785
