dataset	image	max_sim_image	max_sim_image_dist	med_sim_image	med_sim_image_dist	min_sim_image	min_sim_image_dist
mscoco	156	155	0.1574140191078186	1849	0.8454521745443344	1645	0.9639380313456059
mscoco	157	2890	0.25780588388442993	1	0.817378431558609	1119	0.9458448141813278
mscoco	158	4000	0.2731967568397522	3991	0.8335355818271637	343	0.9613923691213131
mscoco	159	2154	0.23106443881988525	2762	0.8437096327543259	1670	0.9559640623629093
mscoco	160	1142	0.39256393909454346	1694	0.8221461027860641	484	0.9516165927052498
mscoco	161	4111	0.3126527667045593	2086	0.785035714507103	4076	0.9428203366696835
mscoco	162	1498	0.26496315002441406	2470	0.7741958498954773	2787	0.9349016323685646
mscoco	163	4021	0.4638030529022217	3541	0.7940105646848679	1119	0.9407948665320873
mscoco	164	2776	0.333784818649292	3593	0.7995187342166901	343	0.9295127242803574
mscoco	165	3981	0.20966112613677979	34	0.8178828805685043	1670	0.9530620351433754
mscoco	166	3975	0.3574753999710083	2818	0.7800575792789459	4041	0.9471281878650188
mscoco	167	2635	0.38338351249694824	1872	0.8265778422355652	2494	0.9640126526355743
mscoco	168	2967	0.3860114812850952	2047	0.7825890183448792	1336	0.9295173808932304
mscoco	169	434	0.2211090326309204	3341	0.7872366160154343	317	0.9392238929867744
mscoco	170	3592	0.49617618322372437	2070	0.8258473128080368	3373	0.9576216451823711
mscoco	171	434	0.2940995693206787	428	0.7859033793210983	1715	0.9452306814491749
mscoco	172	3578	0.36525923013687134	2715	0.7953105717897415	1715	0.9487256295979023
mscoco	173	1624	0.2730112075805664	1728	0.791906014084816	3294	0.9310663342475891
mscoco	174	2154	0.26826566457748413	3832	0.8468575775623322	343	0.9438246749341488
mscoco	175	3323	0.1895524263381958	1499	0.8244836926460266	317	0.9514280036091805
mscoco	176	3451	0.23325073719024658	1446	0.7634291648864746	4298	0.9309536516666412
mscoco	177	2896	0.3721632957458496	3041	0.835630863904953	4426	0.9600907899439335
mscoco	178	3445	0.38409852981567383	4049	0.7647989690303802	2562	0.946450013667345
mscoco	179	2225	0.4629857540130615	1662	0.8006669133901596	1784	0.9508468918502331
mscoco	180	4118	0.2756202816963196	1366	0.8060002624988556	2332	0.9577075988054276
mscoco	181	294	0.24259895086288452	4800	0.8257105201482773	1119	0.9582170397043228
mscoco	182	1805	0.33051562309265137	2658	0.7708923518657684	599	0.9223564565181732
mscoco	183	1160	0.22417140007019043	148	0.8155715018510818	418	0.9602413736283779
