dataset	architecture	distractor_name	cap_len	token_pos	jsd
mscoco	pre	med	8	1	0.47862527949702033
mscoco	pre	med	8	2	0.21442676836258207
mscoco	pre	med	8	3	0.18626934600779677
mscoco	pre	med	8	4	0.3037357030838466
mscoco	pre	med	8	5	0.1578228960113729
mscoco	pre	med	8	6	0.13752087388940662
mscoco	pre	med	8	7	0.4359217430203598
mscoco	pre	med	8	8	0.09080080537303875
mscoco	pre	med	9	0	0.05863053734250501
mscoco	pre	med	9	1	0.4729016741593944
mscoco	pre	med	9	2	0.224211306649803
mscoco	pre	med	9	3	0.21847821002858797
mscoco	pre	med	9	4	0.18258604180812416
mscoco	pre	med	9	5	0.2589547643981588
mscoco	pre	med	9	6	0.1340485319953842
mscoco	pre	med	9	7	0.14994514948404403
mscoco	pre	med	9	8	0.3832749447457197
mscoco	pre	med	9	9	0.060575901830471075
mscoco	pre	med	10	0	0.05730801793368328
mscoco	pre	med	10	1	0.47757784903056494
mscoco	pre	med	10	2	0.2111104036490835
mscoco	pre	med	10	3	0.2136395220948922
mscoco	pre	med	10	4	0.23704797120253038
mscoco	pre	med	10	5	0.2110897349066003
mscoco	pre	med	10	6	0.17652085222836555
mscoco	pre	med	10	7	0.1619627221942186
mscoco	pre	med	10	8	0.16836467445905376
mscoco	pre	med	10	9	0.38864992322756686
mscoco	pre	med	10	10	0.03339033245002207
mscoco	pre	med	11	0	0.058536695566726846
mscoco	pre	med	11	1	0.48875871966592965
mscoco	pre	med	11	2	0.23269177804756205
mscoco	pre	med	11	3	0.168203198791889
mscoco	pre	med	11	4	0.16406477017602203
mscoco	pre	med	11	5	0.3136630608814509
mscoco	pre	med	11	6	0.13816287405705527
mscoco	pre	med	11	7	0.23555115268417998
mscoco	pre	med	11	8	0.14282184448999638
mscoco	pre	med	11	9	0.13352276888764816
mscoco	pre	med	11	10	0.4018117931377977
mscoco	pre	med	11	11	0.027213883621804293
mscoco	pre	med	12	0	0.05969513542134396
mscoco	pre	med	12	1	0.4586833675194831
mscoco	pre	med	12	2	0.13541700891461259
mscoco	pre	med	12	3	0.2787440723703875
mscoco	pre	med	12	4	0.22260317089547868
mscoco	pre	med	12	5	0.13005893151795753
mscoco	pre	med	12	6	0.1692546692801755
mscoco	pre	med	12	7	0.13551679223417482
mscoco	pre	med	12	8	0.09770733817494526
mscoco	pre	med	12	9	0.3562550956830686
mscoco	pre	med	12	10	0.09306032533492267
mscoco	pre	med	12	11	0.3841147057607559
mscoco	pre	med	12	12	0.020226226763069642
mscoco	pre	med	13	0	0.042704112665808716
mscoco	pre	med	13	1	0.45939594312854437
mscoco	pre	med	13	2	0.1857254129540904
mscoco	pre	med	13	3	0.13226824873329504
mscoco	pre	med	13	4	0.28928615962681564
mscoco	pre	med	13	5	0.12206740841730093
mscoco	pre	med	13	6	0.13929436074914006
mscoco	pre	med	13	7	0.2823917692699267
mscoco	pre	med	13	8	0.1251934713471438
mscoco	pre	med	13	9	0.1474010347079931
mscoco	pre	med	13	10	0.255379770728209
mscoco	pre	med	13	11	0.14375439862740916
mscoco	pre	med	13	12	0.4171139526221415
mscoco	pre	med	13	13	0.031187557225601504
mscoco	pre	min	7	0	0.061346491586094294
mscoco	pre	min	7	1	0.5001634760635105
mscoco	pre	min	7	2	0.23672044333611345
mscoco	pre	min	7	3	0.24493207691803823
mscoco	pre	min	7	4	0.15370658856729966
mscoco	pre	min	7	5	0.21259006636705816
mscoco	pre	min	7	6	0.46726787024302274
mscoco	pre	min	7	7	0.12227669474852132
mscoco	pre	min	8	0	0.055795386882516895
mscoco	pre	min	8	1	0.5048088092217802
mscoco	pre	min	8	2	0.23610131118630873
mscoco	pre	min	8	3	0.20232418665115273
mscoco	pre	min	8	4	0.3235084414135427
mscoco	pre	min	8	5	0.17159473153534888
mscoco	pre	min	8	6	0.15487370411023899
mscoco	pre	min	8	7	0.4790902330324403
mscoco	pre	min	8	8	0.10087329986820642
mscoco	pre	min	9	0	0.061453041331439855
mscoco	pre	min	9	1	0.5093260047035978
mscoco	pre	min	9	2	0.24466928481599157
mscoco	pre	min	9	3	0.25422984386262665
mscoco	pre	min	9	4	0.2017983490346097
mscoco	pre	min	9	5	0.2816911917317213
mscoco	pre	min	9	6	0.1495846741703274
mscoco	pre	min	9	7	0.16297237988980567
mscoco	pre	min	9	8	0.4255281533134882
mscoco	pre	min	9	9	0.06460363384528728
mscoco	pre	min	10	0	0.06033018062770732
mscoco	pre	min	10	1	0.5139895711308319
mscoco	pre	min	10	2	0.23330225561543905
mscoco	pre	min	10	3	0.24463942103811193
mscoco	pre	min	10	4	0.267132141935588
mscoco	pre	min	10	5	0.2494968306526886
mscoco	pre	min	10	6	0.19621102010188018
mscoco	pre	min	10	7	0.1839764942046066
mscoco	pre	min	10	8	0.1860273695880931
mscoco	pre	min	10	9	0.43706858581240565
mscoco	pre	min	10	10	0.03850386887013036
mscoco	pre	min	11	0	0.06061158065567725
mscoco	pre	min	11	1	0.5023627979991336
mscoco	pre	min	11	2	0.2562848076887652
mscoco	pre	min	11	3	0.201634653598497
mscoco	pre	min	11	4	0.17925588923862962
mscoco	pre	min	11	5	0.33719937177253695
mscoco	pre	min	11	6	0.16032134478015603
mscoco	pre	min	11	7	0.26002529844248934
mscoco	pre	min	11	8	0.15034587389481355
mscoco	pre	min	11	9	0.1496925472176675
mscoco	pre	min	11	10	0.4519612230724306
mscoco	pre	min	11	11	0.036556304742938056
mscoco	pre	min	12	0	0.06232946007138621
mscoco	pre	min	12	1	0.4811450003707496
mscoco	pre	min	12	2	0.15209105565269176
mscoco	pre	min	12	3	0.31487244609607395
mscoco	pre	min	12	4	0.26406909403646955
mscoco	pre	min	12	5	0.15541167541476728
mscoco	pre	min	12	6	0.1880071553791258
mscoco	pre	min	12	7	0.15020098610244054
mscoco	pre	min	12	8	0.10439790068922929
mscoco	pre	min	12	9	0.37087130950980296
mscoco	pre	min	12	10	0.12868488238204354
mscoco	pre	min	12	11	0.41481769927964296
mscoco	pre	min	12	12	0.025583831544626776
mscoco	pre	min	13	0	0.0610907760894169
mscoco	pre	min	13	1	0.4986265820005666
mscoco	pre	min	13	2	0.19264223846687895
mscoco	pre	min	13	3	0.22826781966116116
mscoco	pre	min	13	4	0.3648623409478561
mscoco	pre	min	13	5	0.1413365397045551
mscoco	pre	min	13	6	0.16752006791142302
mscoco	pre	min	13	7	0.3383210862432505
mscoco	pre	min	13	8	0.12840167587866902
mscoco	pre	min	13	9	0.17409899318084607
mscoco	pre	min	13	10	0.2652402158311578
mscoco	pre	min	13	11	0.15240823960250607
mscoco	pre	min	13	12	0.4128472044780526
mscoco	pre	min	13	13	0.0391242332432581
mscoco	par	max	7	0	0.0319921798484909
mscoco	par	max	7	1	0.25714216480806745
mscoco	par	max	7	2	0.07263997807337394
mscoco	par	max	7	3	0.11791641109746662
mscoco	par	max	7	4	0.0613378529874664
mscoco	par	max	7	5	0.059506475141235166
mscoco	par	max	7	6	0.15952149461318524
mscoco	par	max	7	7	0.030588223624205137
mscoco	par	max	8	0	0.0216243371613838
mscoco	par	max	8	1	0.20106491075071103
mscoco	par	max	8	2	0.07115392470382216
mscoco	par	max	8	3	0.07586706928244541
mscoco	par	max	8	4	0.09803943231577128
mscoco	par	max	8	5	0.04122250123615204
mscoco	par	max	8	6	0.046899626750686665
mscoco	par	max	8	7	0.1633686316312492
mscoco	par	max	8	8	0.0271410772772141
mscoco	par	max	9	0	0.025843240648350266
mscoco	par	max	9	1	0.22130948024691224
mscoco	par	max	9	2	0.06448589765771881
mscoco	par	max	9	3	0.09318868698486431
mscoco	par	max	9	4	0.05930024737431876
mscoco	par	max	9	5	0.0833711102637855
mscoco	par	max	9	6	0.02718064925473554
mscoco	par	max	9	7	0.06633774744412037
mscoco	par	max	9	8	0.1510537313301883
mscoco	par	max	9	9	0.016654264772731738
mscoco	par	max	10	0	0.02341441991053036
mscoco	par	max	10	1	0.21496263075549998
mscoco	par	max	10	2	0.08008641931551484
mscoco	par	max	10	3	0.09071677984279462
mscoco	par	max	10	4	0.08509739820799779
mscoco	par	max	10	5	0.07261921842900462
mscoco	par	max	10	6	0.04982982520476863
mscoco	par	max	10	7	0.04675384224561314
mscoco	par	max	10	8	0.06468272515359438
mscoco	par	max	10	9	0.1601012926534242
mscoco	par	max	10	10	0.010688956704733089
mscoco	par	max	11	0	0.025281479114185292
mscoco	par	max	11	1	0.21956653696728634
mscoco	par	max	11	2	0.057379321920986374
mscoco	par	max	11	3	0.06753474492499614
mscoco	par	max	11	4	0.05707151153944855
mscoco	par	max	11	5	0.11513869102145691
mscoco	par	max	11	6	0.03671099143960132
mscoco	par	max	11	7	0.10439028426490063
mscoco	par	max	11	8	0.06297764574605477
mscoco	par	max	11	9	0.07276912430498003
mscoco	par	max	11	10	0.16633741424078188
mscoco	par	max	11	11	0.00792238469780661
mscoco	par	max	12	0	0.027903790244424385
mscoco	par	max	12	1	0.2183002193636988
mscoco	par	max	12	2	0.025611420395002263
mscoco	par	max	12	3	0.18151834861962252
mscoco	par	max	12	4	0.08493190301166192
mscoco	par	max	12	5	0.0308630650236422
mscoco	par	max	12	6	0.0430482980071197
mscoco	par	max	12	7	0.022635712043173866
mscoco	par	max	12	8	0.01007803382317309
mscoco	par	max	12	9	0.21977176109958985
mscoco	par	max	12	10	0.03716914863280305
mscoco	par	max	12	11	0.11333661832310872
mscoco	par	max	12	12	0.004906004736892088
mscoco	par	med	7	0	0.0568201803770032
mscoco	par	med	7	1	0.46329485601890164
mscoco	par	med	7	2	0.14525263915536202
mscoco	par	med	7	3	0.2708861224811744
mscoco	par	med	7	4	0.1224727108246218
mscoco	par	med	7	5	0.12498994708811048
mscoco	par	med	7	6	0.3805774947099087
mscoco	par	med	7	7	0.07016358007416591
mscoco	par	med	8	0	0.049244352389238216
mscoco	par	med	8	1	0.43987838008955343
mscoco	par	med	8	2	0.1698584418101588
mscoco	par	med	8	3	0.17794088490901572
mscoco	par	med	8	4	0.23826382858997538
mscoco	par	med	8	5	0.10501835442654643
mscoco	par	med	8	6	0.12148877115650868
mscoco	par	med	8	7	0.39028626875084854
mscoco	par	med	8	8	0.05787056091012183
mscoco	par	med	9	0	0.049573604322456784
mscoco	par	med	9	1	0.4278997045801327
mscoco	par	med	9	2	0.15118632769214993
mscoco	par	med	9	3	0.19075249835201838
mscoco	par	med	9	4	0.12190673966023967
mscoco	par	med	9	5	0.18749726813752393
mscoco	par	med	9	6	0.06343482512520672
mscoco	par	med	9	7	0.13521985538714404
mscoco	par	med	9	8	0.33974371628794475
mscoco	par	med	9	9	0.03294745775817026
mscoco	par	med	10	0	0.04560814461783196
mscoco	par	med	10	1	0.4315506658386511
mscoco	par	med	10	2	0.16641834407372474
mscoco	par	med	10	3	0.17166656775331898
mscoco	par	med	10	4	0.20547317784824704
mscoco	par	med	10	5	0.1446024041372151
mscoco	par	med	10	6	0.12256508328989181
mscoco	par	med	10	7	0.10900508451949194
mscoco	par	med	10	8	0.14904846849448133
mscoco	par	med	10	9	0.3728295860747285
mscoco	par	med	10	10	0.02010824390572277
mscoco	par	med	11	0	0.046089919782462435
mscoco	par	med	11	1	0.412916824234112
mscoco	par	med	11	2	0.11332258860918638
mscoco	par	med	11	3	0.16765539274916627
mscoco	par	med	11	4	0.10978495110736651
mscoco	par	med	11	5	0.2622700593015882
mscoco	par	med	11	6	0.08832091270127934
mscoco	par	med	11	7	0.18843928298754434
mscoco	par	med	11	8	0.1406353203749816
mscoco	par	med	11	9	0.15908539571233668
mscoco	par	med	11	10	0.36894967939485696
mscoco	par	med	11	11	0.015136107645445228
mscoco	par	med	12	0	0.0526931502869072
mscoco	par	med	12	1	0.3878404707328914
mscoco	par	med	12	2	0.036082786627708655
mscoco	par	med	12	3	0.36415262398475856
