dataset	architecture	cap_len	token_pos	tag	freq	prop
mscoco	init	11	6	NUM	2	0.004073319755600814
mscoco	init	11	7	NOUN	248	0.505091649694501
mscoco	init	11	7	ADP	90	0.18329938900203666
mscoco	init	11	7	DET	106	0.2158859470468432
mscoco	init	11	7	VERB	20	0.04073319755600815
mscoco	init	11	7	PRT	12	0.024439918533604887
mscoco	init	11	7	ADJ	13	0.026476578411405296
mscoco	init	11	7	PRON	1	0.002036659877800407
mscoco	init	11	7	CONJ	1	0.002036659877800407
mscoco	init	11	8	ADP	243	0.49490835030549896
mscoco	init	11	8	DET	88	0.17922606924643583
mscoco	init	11	8	PRT	33	0.06720977596741344
mscoco	init	11	8	NOUN	95	0.1934826883910387
mscoco	init	11	8	ADJ	18	0.03665987780040733
mscoco	init	11	8	VERB	8	0.016293279022403257
mscoco	init	11	8	CONJ	4	0.008146639511201629
mscoco	init	11	8	PRON	2	0.004073319755600814
mscoco	init	11	9	DET	285	0.5804480651731161
mscoco	init	11	9	NOUN	74	0.15071283095723015
mscoco	init	11	9	ADJ	35	0.07128309572301425
mscoco	init	11	9	ADP	79	0.16089613034623218
mscoco	init	11	9	VERB	13	0.026476578411405296
mscoco	init	11	9	CONJ	3	0.006109979633401222
mscoco	init	11	9	PRON	2	0.004073319755600814
mscoco	init	11	10	NOUN	465	0.9470468431771895
mscoco	init	11	10	PRON	25	0.05091649694501019
mscoco	init	11	10	ADJ	1	0.002036659877800407
mscoco	init	12	0	DET	116	1.0
mscoco	init	12	1	NOUN	98	0.8448275862068966
mscoco	init	12	1	ADJ	18	0.15517241379310345
mscoco	init	12	2	ADP	67	0.5775862068965517
mscoco	init	12	2	VERB	22	0.1896551724137931
mscoco	init	12	2	NOUN	16	0.13793103448275862
mscoco	init	12	2	CONJ	11	0.09482758620689655
mscoco	init	12	3	DET	13	0.11206896551724138
mscoco	init	12	3	ADJ	23	0.19827586206896552
mscoco	init	12	3	ADP	23	0.19827586206896552
mscoco	init	12	3	NOUN	45	0.3879310344827586
mscoco	init	12	3	VERB	12	0.10344827586206896
mscoco	init	12	4	NOUN	30	0.25862068965517243
mscoco	init	12	4	VERB	55	0.47413793103448276
mscoco	init	12	4	DET	15	0.12931034482758622
mscoco	init	12	4	ADJ	3	0.02586206896551724
mscoco	init	12	4	ADP	13	0.11206896551724138
mscoco	init	12	5	CONJ	5	0.04310344827586207
mscoco	init	12	5	ADP	70	0.603448275862069
mscoco	init	12	5	NOUN	15	0.12931034482758622
mscoco	init	12	5	DET	12	0.10344827586206896
mscoco	init	12	5	VERB	8	0.06896551724137931
mscoco	init	12	5	ADJ	4	0.034482758620689655
mscoco	init	12	5	NUM	1	0.008620689655172414
mscoco	init	12	5	PRT	1	0.008620689655172414
mscoco	init	12	6	NOUN	73	0.6293103448275862
mscoco	init	12	6	ADP	14	0.1206896551724138
mscoco	init	12	6	ADJ	5	0.04310344827586207
mscoco	init	12	6	DET	20	0.1724137931034483
mscoco	init	12	6	VERB	4	0.034482758620689655
mscoco	init	12	7	VERB	8	0.06896551724137931
mscoco	init	12	7	ADP	63	0.5431034482758621
mscoco	init	12	7	DET	8	0.06896551724137931
mscoco	init	12	7	PRT	5	0.04310344827586207
mscoco	init	12	7	NOUN	25	0.21551724137931033
mscoco	init	12	7	CONJ	5	0.04310344827586207
mscoco	init	12	7	ADJ	2	0.017241379310344827
mscoco	init	12	8	ADJ	5	0.04310344827586207
mscoco	init	12	8	DET	65	0.5603448275862069
mscoco	init	12	8	NOUN	20	0.1724137931034483
mscoco	init	12	8	VERB	6	0.05172413793103448
mscoco	init	12	8	ADP	19	0.16379310344827586
mscoco	init	12	8	CONJ	1	0.008620689655172414
mscoco	init	12	9	PRT	9	0.07758620689655173
mscoco	init	12	9	ADJ	30	0.25862068965517243
mscoco	init	12	9	ADP	18	0.15517241379310345
mscoco	init	12	9	NOUN	39	0.33620689655172414
mscoco	init	12	9	CONJ	2	0.017241379310344827
